c_date_call,option_symbol_call,dte_call,stocks_id_call,expiration_date,call_put_call,price_strike,price_open_call,price_high_call,price_low_call,price_call,volume_call,openinterest_call,iv_call,delta_call,preiv_call,gamma_call,theta_call,vega_call,rho_call,Ask_call,Bid_call,underlying_price_call,calc_OTM_call,option_id_call,is_settlement_call,c_date_put,option_symbol_put,dte_put,stocks_id_put,call_put_put,price_open_put,price_high_put,price_low_put,price_put,volume_put,openinterest_put,iv_put,delta_put,preiv_put,gamma_put,theta_put,vega_put,rho_put,Ask_put,Bid_put,underlying_price_put,calc_OTM_put,option_id_put,is_settlement_put,vol_weighted,delta_diff
2021-12-01,AAPL  211217C00160000,16,799,2021-12-17,C,160.0,9.05,11.51,7.45,7.45,12132,103519,0.345108,0.671193,0.345108,0.030374,-0.134779,0.124752,0.045213,7.55,7.35,164.77,-2.89,115343545,0,2021-12-01,AAPL  211217P00160000,16,799,P,1.81,2.84,1.23,2.7849998,16978,43676,0.353952,-0.331941,0.353952,0.029871,-0.139048,0.127573,-0.023132,2.87,2.7,164.77,2.89,115343546,0,0.34801596910800003,0.07880699999999996
2021-12-01,AAPL  211223C00175000,22,799,2021-12-23,C,175.0,1.9,2.98,1.44,1.56,6965,7165,0.308493,0.224602,0.308493,0.024009,-0.085062,0.1212,0.021366,1.64,1.48,164.77,6.21,117726797,0,2021-12-01,AAPL  211223P00175000,22,799,P,8.9,11.4,7.8,11.6,167,182,0.29306,-0.788629,0.29306,0.024496,-0.077897,0.115864,-0.067074,12.45,10.75,164.77,-6.21,117726798,0,0.296526282666,0.025398000000000004
2021-12-01,AAPL  211223C00172500,22,799,2021-12-23,C,172.5,2.52,3.9,2.0,2.205,9699,5360,0.31345,0.288904,0.31345,0.026948,-0.09858,0.138224,0.027363,2.72,1.69,164.77,4.6899999999999995,117880805,0,2021-12-01,AAPL  211223P00172500,22,799,P,8.33,8.33,6.25,9.65,200,1,0.292931,-0.726252,0.292931,0.028203,-0.08969,0.133729,-0.063847,11.8,7.5,164.77,-4.6899999999999995,117880806,0,0.298859021176,0.038903999999999994
2021-12-01,AAPL  211223C00155000,22,799,2021-12-23,C,155.0,13.55,16.2,12.0,11.9,575,12174,0.366311,0.76585,0.366311,0.020697,-0.103564,0.124062,0.068887,12.55,11.25,164.77,-5.93,117726789,0,2021-12-01,AAPL  211223P00155000,22,799,P,1.39,2.05,0.91,1.97,1241,9108,0.353988,-0.227406,0.353988,0.02107,-0.098097,0.122053,-0.023772,2.13,1.81,164.77,5.93,117726790,0,0.36342556955,0.01585000000000003
2021-12-01,AAPL  211223C00157500,22,799,2021-12-23,C,157.5,11.25,14.0,9.8,10.7,1106,6441,0.406693,0.692309,0.406693,0.021374,-0.131732,0.142247,0.062306,12.0,9.4,164.77,-4.41,117880799,0,2021-12-01,AAPL  211223P00157500,22,799,P,1.53,2.64,1.2,2.15,904,605,0.406693,-0.307604,-1.0,0.02145,-0.131812,0.14252,-0.030112,3.0,1.3,164.77,4.41,117880800,0,0.4066930000000001,0.05769100000000005
2021-12-01,AAPL  211231C00175000,30,799,2021-12-31,C,175.0,2.45,3.65,1.95,2.19,6830,17278,0.30671,0.26103,0.30671,0.022434,-0.078592,0.153536,0.033551,2.43,1.95,164.77,6.21,117821593,0,2021-12-01,AAPL  211231P00175000,30,799,P,10.8,12.05,8.25,12.425,615,174,0.30769,-0.7386,0.30769,0.022474,-0.078782,0.157237,-0.089025,13.5,11.35,164.77,-6.21,117821594,0,0.3074341906,0.011029999999999984
2021-12-01,AAPL  211231C00177500,30,799,2021-12-31,C,177.5,1.55,2.8,1.5,1.63,1271,313,0.311475,0.215386,-1.0,0.019879,-0.071815,0.138169,0.027746,2.26,1.0,164.77,7.73,118084863,0,2021-12-01,AAPL  211231P00177500,30,799,P,10.57,15.6,9.79,14.35,106,2,0.312633,-0.784059,-1.0,0.019915,-0.072018,0.136221,-0.092273,16.7,12.0,164.77,-7.73,118084864,0,0.31238358301200003,0.034614000000000006
2021-12-01,AAPL  211231C00155000,30,799,2021-12-31,C,155.0,13.7,16.58,12.27,12.325001,502,5285,0.342281,0.749454,0.342281,0.019677,-0.086023,0.150285,0.091366,13.1,11.55,164.77,-5.93,117821585,0,2021-12-01,AAPL  211231P00155000,30,799,P,1.56,2.49,1.26,2.555,1580,8810,0.342884,-0.250666,0.342884,0.019725,-0.086133,0.147821,-0.03347,2.64,2.47,164.77,5.93,117821586,0,0.342432079238,0.0005460000000000464
2021-12-01,AAPL  211231C00157500,30,799,2021-12-31,C,157.5,11.95,14.5,10.0,11.125,201,6601,0.373534,0.68284,0.373534,0.020191,-0.105038,0.168296,0.083331,12.25,10.0,164.77,-4.41,117880809,0,2021-12-01,AAPL  211231P00157500,30,799,P,2.07,3.18,1.62,3.0,913,1751,0.322609,-0.296137,0.322609,0.022779,-0.088036,0.166428,-0.039072,3.2,2.8,164.77,4.41,117880810,0,0.35738262699999995,0.06716
2021-12-01,AAPL  211210C00162500,9,799,2021-12-10,C,162.5,6.45,8.82,4.75,4.475,4208,7126,0.313301,0.62057,0.313301,0.04695,-0.171604,0.098469,0.024109,5.7,3.25,164.77,-1.38,117880789,0,2021-12-01,AAPL  211210P00162500,9,799,P,1.68,2.95,1.08,2.845,20330,2798,0.377752,-0.3959,0.377752,0.039574,-0.209874,0.099422,-0.015406,2.91,2.78,164.77,1.38,117880790,0,0.33775564293,
